Archivo:,kB:,Ruta:,Fecha De Creación:
contador.rb,0.0419921875,/home/sosorio/workspace/Ruby/fichero/contador.rb,2026-02-26 12:50:49 +0100
hola.rb,0.017578125,/home/sosorio/workspace/Ruby/fichero/hola.rb,2026-02-26 12:46:44 +0100
listado.rb,0.3134765625,/home/sosorio/workspace/Ruby/fichero/listado.rb,2026-02-26 13:24:39 +0100
suma.rb,0.0302734375,/home/sosorio/workspace/Ruby/fichero/suma.rb,2026-02-26 12:48:22 +0100
